2021-11-20 10:20:06,860 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2021-11-20 10:21:50,480 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:DemoRediffmail:0.0.1-SNAPSHOT @ C:\Users\rakyesh\Automation\Project\20NovProject\DemoRediffmail\pom.xml.
2021-11-20 10:21:58,719 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DemoRediffmail/src/main/java
2021-11-20 10:21:58,725 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /DemoRediffmail/src/main/resources
2021-11-20 10:21:58,728 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DemoRediffmail/src/test/java
2021-11-20 10:21:58,729 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /DemoRediffmail/src/test/resources
2021-11-20 10:22:10,191 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-20 10:22:10,224 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-20 10:22:10,233 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-20 10:22:10,237 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-20 10:22:51,862 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:DemoRediffmail:0.0.1-SNAPSHOT @ C:\Users\rakyesh\Automation\Project\20NovProject\DemoRediffmail\pom.xml.
2021-11-20 10:23:06,736 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
